component_1,component_2,Deontological_corr,Utilitarian_corr,correlation_diff,abs_diff
L18_ATTN,L9_MLP,0.6883085209501837,-0.040868244730727935,0.7291767656809116,0.7291767656809116
L4_MLP,L9_MLP,0.5572252249912943,-0.17051920704197912,0.7277444320332734,0.7277444320332734
L14_MLP,L6_MLP,0.5424286767034631,-0.16270194437475508,0.7051306210782181,0.7051306210782181
L18_MLP,L9_MLP,0.5173702310539738,-0.17332380832668864,0.6906940393806624,0.6906940393806624
L25_ATTN,L9_MLP,-0.501163869833632,0.1728710132986085,-0.6740348831322405,0.6740348831322405
L19_ATTN,L9_MLP,0.32332536383044774,-0.3498344745790576,0.6731598384095053,0.6731598384095053
L3_ATTN,L6_MLP,-0.4499721785612959,0.19850200782552152,-0.6484741863868174,0.6484741863868174
L1_MLP,L6_MLP,-0.15015905364383125,-0.7985566993373452,0.6483976456935139,0.6483976456935139
L25_MLP,L9_MLP,0.02022394686373414,0.6331339796352362,-0.612910032771502,0.612910032771502
L16_ATTN,L9_MLP,0.1725621624245188,0.7564562250846447,-0.5838940626601259,0.5838940626601259
L20_MLP,L6_MLP,0.08047369260892212,-0.49820703680226575,0.5786807294111879,0.5786807294111879
L8_MLP,L9_MLP,-0.5495991730790036,0.019674348589036172,-0.5692735216680398,0.5692735216680398
L12_MLP,L6_MLP,0.5915619001799108,0.03863591698031385,0.552925983199597,0.552925983199597
L11_ATTN,L6_MLP,0.5833403551129377,0.03830257044115645,0.5450377846717812,0.5450377846717812
L2_ATTN,L6_MLP,0.9157717687048322,0.4240917012709199,0.49168006743391235,0.49168006743391235
L23_ATTN,L8_MLP,-0.5077721507630615,-0.0261366856344482,-0.48163546512861327,0.48163546512861327
L16_MLP,L8_MLP,-0.276226022107319,-0.7452410826563232,0.46901506054900416,0.46901506054900416
L22_ATTN,L8_MLP,-0.07387183965506763,0.3868816217173698,-0.46075346137243745,0.46075346137243745
L24_MLP,L9_MLP,0.23605062034548396,0.6955485155139511,-0.4594978951684672,0.4594978951684672
L10_MLP,L9_MLP,-0.3910014658862694,0.06350340923050823,-0.4545048751167776,0.4545048751167776
L13_MLP,L8_MLP,0.8441488849268952,0.392628127348367,0.4515207575785282,0.4515207575785282
L15_MLP,L6_MLP,-0.4430356801931767,0.005331306084093766,-0.44836698627727045,0.44836698627727045
L15_ATTN,L6_MLP,-0.24879655065952724,-0.6838211885331194,0.43502463787359213,0.43502463787359213
L13_ATTN,L8_MLP,0.5886754669449299,0.15633361872060836,0.43234184822432153,0.43234184822432153
L13_ATTN,L9_MLP,-0.37273504607750935,-0.8047592112894306,0.4320241652119213,0.4320241652119213
L15_ATTN,L8_MLP,-0.36703774376952886,-0.7878156286289313,0.42077788485940243,0.42077788485940243
L0_ATTN,L9_MLP,0.6170609073445337,0.20034374130204086,0.4167171660424928,0.4167171660424928
L19_MLP,L9_MLP,0.0032775131407400543,0.4135135047390607,-0.41023599159832064,0.41023599159832064
L20_MLP,L9_MLP,-0.19093559652343803,0.21762818062324576,-0.4085637771466838,0.4085637771466838
L17_MLP,L9_MLP,-0.11461606485383456,0.28915583352344476,-0.40377189837727934,0.40377189837727934
L6_MLP,L9_MLP,-0.5867752964344107,-0.18867821798434137,-0.39809707845006936,0.39809707845006936
L19_ATTN,L8_MLP,0.10370705315722174,-0.2838198103629989,0.38752686352022064,0.38752686352022064
L3_ATTN,L9_MLP,0.563102017667557,0.18359091549446052,0.37951110217309647,0.37951110217309647
L18_MLP,L8_MLP,-0.20055297634022382,-0.579262752614094,0.37870977627387015,0.37870977627387015
L3_MLP,L6_MLP,0.2803150565766451,0.6511798721771568,-0.37086481560051165,0.37086481560051165
L3_ATTN,L8_MLP,-0.5881229779914029,-0.2241126726454986,-0.3640103053459043,0.3640103053459043
L18_ATTN,L6_MLP,-0.8283410223224268,-0.46445676320679263,-0.36388425911563416,0.36388425911563416
L5_MLP,L6_MLP,0.7967884497328089,0.4350669390093044,0.36172151072350456,0.36172151072350456
L21_ATTN,L8_MLP,0.1101760069238398,0.47040990305461133,-0.3602338961307715,0.3602338961307715
L5_MLP,L8_MLP,0.8457172464115496,0.48888418264784916,0.3568330637637004,0.3568330637637004
L23_MLP,L9_MLP,0.4414553574973166,0.7970614260912268,-0.35560606859391014,0.35560606859391014
L20_ATTN,L8_MLP,-0.04970415062055977,0.30416412853294245,-0.3538682791535022,0.3538682791535022
L7_ATTN,L8_MLP,-0.5084334321404198,-0.8553662042312156,0.34693277209079576,0.34693277209079576
L4_MLP,L6_MLP,-0.28915088741969625,0.057321176412958474,-0.3464720638326547,0.3464720638326547
L14_MLP,L9_MLP,-0.2558583733597389,-0.6014534788226252,0.34559510546288635,0.34559510546288635
L1_MLP,L8_MLP,-0.3456107482743196,-0.6858914234078676,0.340280675133548,0.340280675133548
L15_ATTN,L9_MLP,-0.17229920139067478,0.16715291487003567,-0.3394521162607105,0.3394521162607105
L21_ATTN,L6_MLP,0.00569865052786156,0.33790429805815486,-0.3322056475302933,0.3322056475302933
L14_ATTN,L9_MLP,0.006620169025030247,-0.3227658384180213,0.3293860074430516,0.3293860074430516
L10_ATTN,L8_MLP,-0.6164500650179309,-0.28951298193053787,-0.326937083087393,0.326937083087393
L17_MLP,L8_MLP,-0.39702407384416827,-0.7074641202473987,0.3104400464032304,0.3104400464032304
L20_ATTN,L6_MLP,-0.24561557133219952,0.06293947801651772,-0.30855504934871725,0.30855504934871725
L2_ATTN,L8_MLP,0.8524753757379273,0.5442728630707259,0.30820251266720144,0.30820251266720144
L22_MLP,L9_MLP,0.4202640900879057,0.7240807722542407,-0.303816682166335,0.303816682166335
L14_MLP,L8_MLP,0.5514273216234759,0.25682045158571915,0.2946068700377567,0.2946068700377567
L6_MLP,L7_MLP,0.32961858827007834,0.6232225210897319,-0.2936039328196535,0.2936039328196535
L21_MLP,L9_MLP,0.1764046490227408,0.46739688103569865,-0.2909922320129579,0.2909922320129579
L12_ATTN,L8_MLP,-0.5923127859443754,-0.30362954250611135,-0.28868324343826407,0.28868324343826407
L22_ATTN,L6_MLP,-0.18558817376719755,0.09640300981238753,-0.2819911835795851,0.2819911835795851
L24_ATTN,L8_MLP,-0.3911149417848957,-0.11105591070224756,-0.2800590310826481,0.2800590310826481
L18_MLP,L6_MLP,-0.5990822573437359,-0.3250504554563262,-0.27403180188740967,0.27403180188740967
L20_MLP,L8_MLP,0.3514392304320196,0.07795503786930881,0.2734841925627108,0.2734841925627108
L21_MLP,L6_MLP,0.1554503685958416,-0.10385452040811369,0.2593048890039553,0.2593048890039553
L24_MLP,L8_MLP,0.02393825499208615,0.2822892123578594,-0.2583509573657733,0.2583509573657733
L1_ATTN,L9_MLP,-0.49799368637612323,-0.24466245803138542,-0.2533312283447378,0.2533312283447378
L14_ATTN,L8_MLP,-0.30188679064499585,-0.5531186334169119,0.25123184277191607,0.25123184277191607
L7_MLP,L8_MLP,0.5460106960719865,0.793561539238907,-0.24755084316692055,0.24755084316692055
L8_ATTN,L9_MLP,-0.3401141148727313,-0.09854905040545568,-0.2415650644672756,0.2415650644672756
L12_ATTN,L9_MLP,0.6111100469203246,0.851864086455797,-0.24075403953547247,0.24075403953547247
L6_ATTN,L9_MLP,-0.4665606197865988,-0.23060064409319597,-0.23595997569340282,0.23595997569340282
L24_ATTN,L6_MLP,-0.38946359670388525,-0.1545632174629499,-0.23490037924093535,0.23490037924093535
L15_MLP,L8_MLP,-0.26459611679101147,-0.4950792511417422,0.23048313435073076,0.23048313435073076
L2_ATTN,L9_MLP,-0.593180610719509,-0.3704932228483488,-0.22268738787116021,0.22268738787116021
L12_MLP,L8_MLP,0.5282618078468202,0.3070185708861944,0.2212432369606258,0.2212432369606258
