model,scenario,final_delta_seq,final_delta_legacy,final_p_action2,final_preferred_action,component_type,layer,head,component,contribution
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,0,0,L0H0,0.386474609375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,0,1,L0H1,0.386474609375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,0,2,L0H2,0.386474609375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,0,3,L0H3,0.386474609375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,0,4,L0H4,0.386474609375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,0,5,L0H5,0.386474609375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,0,6,L0H6,0.386474609375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,0,7,L0H7,0.386474609375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,1,0,L1H0,0.7783203125
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,1,1,L1H1,0.7783203125
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,1,2,L1H2,0.7783203125
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,1,3,L1H3,0.7783203125
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,1,4,L1H4,0.7783203125
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,1,5,L1H5,0.7783203125
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,1,6,L1H6,0.7783203125
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,1,7,L1H7,0.7783203125
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,2,0,L2H0,0.2288818359375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,2,1,L2H1,0.2288818359375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,2,2,L2H2,0.2288818359375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,2,3,L2H3,0.2288818359375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,2,4,L2H4,0.2288818359375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,2,5,L2H5,0.2288818359375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,2,6,L2H6,0.2288818359375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,2,7,L2H7,0.2288818359375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,3,0,L3H0,0.366943359375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,3,1,L3H1,0.366943359375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,3,2,L3H2,0.366943359375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,3,3,L3H3,0.366943359375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,3,4,L3H4,0.366943359375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,3,5,L3H5,0.366943359375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,3,6,L3H6,0.366943359375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,3,7,L3H7,0.366943359375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,4,0,L4H0,-0.5302734375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,4,1,L4H1,-0.5302734375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,4,2,L4H2,-0.5302734375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,4,3,L4H3,-0.5302734375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,4,4,L4H4,-0.5302734375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,4,5,L4H5,-0.5302734375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,4,6,L4H6,-0.5302734375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,4,7,L4H7,-0.5302734375
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,5,0,L5H0,0.07598876953125
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,5,1,L5H1,0.07598876953125
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,5,2,L5H2,0.07598876953125
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,5,3,L5H3,0.07598876953125
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,5,4,L5H4,0.07598876953125
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,5,5,L5H5,0.07598876953125
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,5,6,L5H6,0.07598876953125
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,5,7,L5H7,0.07598876953125
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,6,0,L6H0,0.27685546875
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,6,1,L6H1,0.27685546875
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,6,2,L6H2,0.27685546875
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,6,3,L6H3,0.27685546875
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,6,4,L6H4,0.27685546875
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,6,5,L6H5,0.27685546875
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,6,6,L6H6,0.27685546875
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,6,7,L6H7,0.27685546875
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,7,0,L7H0,0.435546875
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,7,1,L7H1,0.435546875
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,7,2,L7H2,0.435546875
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,7,3,L7H3,0.435546875
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,7,4,L7H4,0.435546875
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,7,5,L7H5,0.435546875
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,7,6,L7H6,0.435546875
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,7,7,L7H7,0.435546875
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,8,0,L8H0,-0.10772705078125
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,8,1,L8H1,-0.10772705078125
base,CC_continue,1.6562497878918345,-1.37890625,0.8397339391265441,action2,head,8,2,L8H2,-0.10772705078125
