model,scenario,component_type,mean,std,min,max
PT2_COREDe,CC_continue,head,0.10366207514053737,0.5502854054700899,-1.427734375,1.16015625
PT2_COREDe,CC_continue,mlp,0.26473783835386616,5.165905506809712,-11.3515625,10.328125
PT2_COREDe,CC_temptation,head,0.2432249020307492,0.6882888346245184,-1.4384765625,2.03515625
PT2_COREDe,CC_temptation,mlp,0.5735461895282452,5.358950118167728,-11.265625,9.984375
PT2_COREDe,CD_punished,head,0.14077876164362982,0.5644344552335798,-1.3876953125,1.4130859375
PT2_COREDe,CD_punished,mlp,0.2891900478265224,5.161449062452677,-11.296875,10.234375
PT2_COREDe,DC_exploited,head,0.30392221304086536,0.7952450086322994,-1.41796875,2.677734375
PT2_COREDe,DC_exploited,mlp,0.7644981971153846,5.301517858664225,-11.34375,10.2734375
PT2_COREDe,DD_trapped,head,0.2863022241836939,0.7705674963149571,-1.44140625,2.3671875
PT2_COREDe,DD_trapped,mlp,0.7199973081931089,5.290656328556162,-11.34375,10.1953125
PT3_COREDe,CC_continue,head,-0.0013686449099809695,0.532514346383728,-1.5029296875,0.8720703125
PT3_COREDe,CC_continue,mlp,-0.31033990322015226,4.9690817904645685,-11.0078125,9.984375
PT3_COREDe,CC_temptation,head,0.013971279828976363,0.5273085501159083,-1.5087890625,0.83544921875
PT3_COREDe,CC_temptation,mlp,-0.3192905523838141,5.04709437970905,-10.9453125,10.265625
PT3_COREDe,CD_punished,head,0.002189049353966346,0.5346675920958256,-1.45703125,0.837890625
PT3_COREDe,CD_punished,mlp,-0.37784713353866184,4.986559951319289,-10.90625,10.0
PT3_COREDe,DC_exploited,head,0.01847389416816907,0.5316154818390608,-1.5009765625,0.8701171875
PT3_COREDe,DC_exploited,mlp,-0.32533929286858976,4.951965463773725,-10.90625,9.953125
PT3_COREDe,DD_trapped,head,0.00910480205829327,0.5526060936867869,-1.5146484375,0.89990234375
PT3_COREDe,DD_trapped,mlp,-0.2827195387620192,4.961714179068209,-10.9609375,9.984375
PT3_COREUt,CC_continue,head,0.03309342800042568,0.5111101938648301,-1.3818359375,0.8203125
PT3_COREUt,CC_continue,mlp,-0.08516003535344051,4.989572995053691,-11.0078125,9.8515625
PT3_COREUt,CC_temptation,head,0.044472914475661054,0.4996209760095377,-1.3857421875,0.76513671875
PT3_COREUt,CC_temptation,mlp,-0.0860141851963141,5.03100820189668,-11.0859375,10.0625
PT3_COREUt,CD_punished,head,0.036529932266626604,0.5054201540825604,-1.3544921875,0.79443359375
PT3_COREUt,CD_punished,mlp,-0.10181368314302884,4.973668571493949,-11.0078125,9.8203125
PT3_COREUt,DC_exploited,head,0.05722466493264223,0.5091746437612795,-1.373046875,0.8291015625
PT3_COREUt,DC_exploited,mlp,-0.08893044789632161,4.94301240319305,-11.0234375,9.8203125
PT3_COREUt,DD_trapped,head,0.03917478903745993,0.5188406048372468,-1.40234375,0.84521484375
PT3_COREUt,DD_trapped,mlp,-0.10309150891426282,4.963791872185188,-11.0625,9.8359375
PT4_COREDe,CC_continue,head,-0.023565047826522436,0.6057133088175645,-1.37890625,0.923828125
PT4_COREDe,CC_continue,mlp,-0.21697029700646034,5.280853346066446,-11.0625,10.8984375
PT4_COREDe,CC_temptation,head,-0.0019812950721153845,0.6055984608094187,-1.4140625,0.90771484375
PT4_COREDe,CC_temptation,mlp,-0.08869034204727565,5.307461861783955,-11.109375,10.3671875
PT4_COREDe,CD_punished,head,0.2731288029597356,0.627624512237624,-1.3427734375,1.5791015625
PT4_COREDe,CD_punished,mlp,0.43432891063201123,5.283988565630011,-11.046875,10.828125
PT4_COREDe,DC_exploited,head,-0.006402822641225962,0.6315944685059904,-1.6787109375,0.8955078125
PT4_COREDe,DC_exploited,mlp,-0.14861121544471154,5.242650904269157,-11.046875,10.8046875
PT4_COREDe,DD_trapped,head,0.24864588028345352,0.6640875467756691,-1.4404296875,1.8408203125
PT4_COREDe,DD_trapped,mlp,0.4622184557792468,5.23399688161786,-11.0859375,10.5546875
base,CC_continue,head,0.041721160595233626,0.5267770659337018,-1.4794921875,0.7783203125
base,CC_continue,mlp,0.08981870993589744,5.111454090838455,-11.3359375,10.0078125
base,CC_temptation,head,0.06409239157652244,0.5316340788564247,-1.49609375,0.75439453125
base,CC_temptation,mlp,0.08038956079727565,5.156946169798237,-11.2578125,9.9921875
base,CD_punished,head,0.04991237933819111,0.5234987219945575,-1.439453125,0.7734375
base,CD_punished,mlp,0.07782843174078526,5.085951504074345,-11.21875,9.9453125
base,DC_exploited,head,0.06466278663048378,0.536589624704016,-1.4697265625,0.77197265625
base,DC_exploited,mlp,0.08846028645833333,5.052469379260329,-11.28125,9.9140625
base,DD_trapped,head,0.05721337978656475,0.5438779681735022,-1.5,0.7880859375
base,DD_trapped,mlp,0.08215019030448718,5.0750180679661865,-11.3046875,9.78125
