model,component,contribution
PT3_COREDe,L8_MLP,7.266666666666667
PT3_COREUt,L8_MLP,7.254166666666666
PT2_COREDe,L8_MLP,7.254166666666666
PT4_COREDe,L8_MLP,7.222916666666666
base,L8_MLP,7.21875
PT3_COREUt,L11_MLP,6.7125
PT3_COREDe,L11_MLP,6.69375
PT4_COREDe,L11_MLP,6.66875
PT2_COREDe,L11_MLP,6.6625
base,L11_MLP,6.64375
PT4_COREDe,L3_MLP,5.05625
PT2_COREDe,L3_MLP,5.054166666666666
PT3_COREDe,L3_MLP,5.054166666666666
base,L3_MLP,5.052083333333333
PT3_COREUt,L3_MLP,5.04375
PT3_COREUt,L0_MLP,4.072916666666667
base,L0_MLP,4.070833333333334
PT3_COREDe,L0_MLP,4.06875
PT2_COREDe,L0_MLP,4.066666666666666
PT4_COREDe,L0_MLP,4.066666666666666
PT4_COREDe,L10_MLP,3.779166666666667
base,L10_MLP,3.7645833333333334
PT3_COREDe,L10_MLP,3.761458333333333
PT2_COREDe,L10_MLP,3.75625
PT3_COREUt,L10_MLP,3.753125
PT3_COREDe,L6_MLP,2.7270833333333333
base,L6_MLP,2.7260416666666667
PT3_COREUt,L6_MLP,2.7239583333333335
PT4_COREDe,L6_MLP,2.721875
PT2_COREDe,L6_MLP,2.7125
PT3_COREUt,L12_MLP,2.277604166666667
base,L12_MLP,2.277083333333333
PT3_COREDe,L12_MLP,2.2739583333333333
PT4_COREDe,L12_MLP,2.2729166666666667
PT2_COREDe,L12_MLP,2.2666666666666666
PT2_COREDe,L20_MLP,2.081770833333333
PT4_COREDe,L20_MLP,2.0609375
PT3_COREDe,L20_MLP,2.0609375
base,L20_MLP,2.058854166666667
PT3_COREUt,L20_MLP,2.0572916666666665
base,L15_MLP,1.859375
PT4_COREDe,L15_MLP,1.8572916666666666
PT3_COREDe,L15_MLP,1.8265625
PT3_COREUt,L15_MLP,1.8192708333333334
PT2_COREDe,L15_MLP,1.8125
PT3_COREUt,L16_MLP,1.5192708333333333
PT4_COREDe,L16_MLP,1.5169270833333333
PT3_COREDe,L16_MLP,1.515625
PT2_COREDe,L16_MLP,1.49765625
base,L16_MLP,1.4942708333333334
PT2_COREDe,L17_MLP,1.4052083333333334
PT3_COREDe,L17_MLP,1.3979166666666667
PT4_COREDe,L17_MLP,1.3932291666666667
PT3_COREUt,L17_MLP,1.3901041666666667
base,L17_MLP,1.3713541666666667
PT3_COREDe,L1H0,1.2041666666666666
PT3_COREDe,L1H5,1.2041666666666666
PT3_COREDe,L1H3,1.2041666666666666
PT3_COREDe,L1H2,1.2041666666666666
PT3_COREDe,L1H1,1.2041666666666666
PT3_COREUt,L1H0,1.2041666666666666
PT3_COREUt,L1H7,1.2041666666666666
PT3_COREUt,L1H5,1.2041666666666666
PT3_COREUt,L1H6,1.2041666666666666
PT3_COREUt,L1H3,1.2041666666666666
PT3_COREDe,L1H7,1.2041666666666666
PT3_COREDe,L1H6,1.2041666666666666
PT3_COREUt,L1H4,1.2041666666666666
PT3_COREDe,L1H4,1.2041666666666666
PT3_COREUt,L1H2,1.2041666666666666
PT3_COREUt,L1H1,1.2041666666666666
PT2_COREDe,L1H7,1.2036458333333333
PT2_COREDe,L1H5,1.2036458333333333
PT2_COREDe,L1H1,1.2036458333333333
PT2_COREDe,L1H6,1.2036458333333333
