l9_component,other_component,correlation,abs_correlation
L9_MLP,L0_ATTN,0.6170609073445337,0.6170609073445337
L9_MLP,L0_MLP,0.5116398756145191,0.5116398756145191
L9_MLP,L10_ATTN,0.8243156376336433,0.8243156376336433
L9_MLP,L10_MLP,-0.3910014658862694,0.3910014658862694
L9_MLP,L11_ATTN,-0.00669121987607217,0.00669121987607217
L9_MLP,L11_MLP,-0.29201244276863253,0.29201244276863253
L9_MLP,L12_ATTN,0.6111100469203246,0.6111100469203246
L9_MLP,L12_MLP,0.12218333612198304,0.12218333612198304
L9_MLP,L13_ATTN,-0.37273504607750935,0.37273504607750935
L9_MLP,L13_MLP,-0.6601692960698808,0.6601692960698808
L9_MLP,L14_ATTN,0.006620169025030247,0.006620169025030247
L9_MLP,L14_MLP,-0.2558583733597389,0.2558583733597389
L9_MLP,L15_ATTN,-0.17229920139067478,0.17229920139067478
L9_MLP,L15_MLP,-0.2971671319158186,0.2971671319158186
L9_MLP,L16_ATTN,0.1725621624245188,0.1725621624245188
L9_MLP,L16_MLP,0.2506138547551239,0.2506138547551239
L9_MLP,L17_ATTN,0.6363535579139156,0.6363535579139156
L9_MLP,L17_MLP,-0.11461606485383456,0.11461606485383456
L9_MLP,L18_ATTN,0.6883085209501837,0.6883085209501837
L9_MLP,L18_MLP,0.5173702310539738,0.5173702310539738
L9_MLP,L19_ATTN,0.32332536383044774,0.32332536383044774
L9_MLP,L19_MLP,0.0032775131407400543,0.0032775131407400543
L9_MLP,L1_ATTN,-0.49799368637612323,0.49799368637612323
L9_MLP,L1_MLP,0.3329068029816164,0.3329068029816164
L9_MLP,L20_ATTN,0.5848304448957728,0.5848304448957728
L9_MLP,L20_MLP,-0.19093559652343803,0.19093559652343803
L9_MLP,L21_ATTN,0.4537573717698171,0.4537573717698171
L9_MLP,L21_MLP,0.1764046490227408,0.1764046490227408
L9_MLP,L22_ATTN,0.6573247574571375,0.6573247574571375
L9_MLP,L22_MLP,0.4202640900879057,0.4202640900879057
L9_MLP,L23_ATTN,0.650384482025523,0.650384482025523
L9_MLP,L23_MLP,0.4414553574973166,0.4414553574973166
L9_MLP,L24_ATTN,0.5899135715755973,0.5899135715755973
L9_MLP,L24_MLP,0.23605062034548396,0.23605062034548396
L9_MLP,L25_ATTN,-0.501163869833632,0.501163869833632
L9_MLP,L25_MLP,0.02022394686373414,0.02022394686373414
L9_MLP,L2_ATTN,-0.593180610719509,0.593180610719509
L9_MLP,L2_MLP,-0.5923323892930317,0.5923323892930317
L9_MLP,L3_ATTN,0.563102017667557,0.563102017667557
L9_MLP,L3_MLP,-0.0775746377440641,0.0775746377440641
L9_MLP,L4_ATTN,0.5958436137353675,0.5958436137353675
L9_MLP,L4_MLP,0.5572252249912943,0.5572252249912943
L9_MLP,L5_ATTN,-0.5759646943848074,0.5759646943848074
L9_MLP,L5_MLP,-0.2853580442944296,0.2853580442944296
L9_MLP,L6_ATTN,-0.4665606197865988,0.4665606197865988
L9_MLP,L6_MLP,-0.5867752964344107,0.5867752964344107
L9_MLP,L7_ATTN,-0.0778439973669891,0.0778439973669891
L9_MLP,L7_MLP,0.2577382232047292,0.2577382232047292
L9_MLP,L8_ATTN,-0.3401141148727313,0.3401141148727313
L9_MLP,L8_MLP,-0.5495991730790036,0.5495991730790036
L9_MLP,L9_ATTN,-0.3774546483645976,0.3774546483645976
L9_ATTN,L0_ATTN,-0.21035553535378387,0.21035553535378387
L9_ATTN,L0_MLP,-0.7565000712494234,0.7565000712494234
L9_ATTN,L10_ATTN,-0.29977876167789425,0.29977876167789425
L9_ATTN,L10_MLP,0.9109338877808655,0.9109338877808655
L9_ATTN,L11_ATTN,0.8108109470758276,0.8108109470758276
L9_ATTN,L11_MLP,0.9459771865627646,0.9459771865627646
L9_ATTN,L12_ATTN,-0.29238884263285153,0.29238884263285153
L9_ATTN,L12_MLP,0.6676441359949721,0.6676441359949721
L9_ATTN,L13_ATTN,0.05224182055538598,0.05224182055538598
L9_ATTN,L13_MLP,0.6724882872182514,0.6724882872182514
L9_ATTN,L14_ATTN,-0.43854404589239765,0.43854404589239765
