l9_component,other_component,correlation,abs_correlation
L9_MLP,L0_ATTN,0.20034374130204086,0.20034374130204086
L9_MLP,L0_MLP,0.44485491062119265,0.44485491062119265
L9_MLP,L10_ATTN,0.9494366194692611,0.9494366194692611
L9_MLP,L10_MLP,0.06350340923050823,0.06350340923050823
L9_MLP,L11_ATTN,-0.18108017934243492,0.18108017934243492
L9_MLP,L11_MLP,-0.10054620206122292,0.10054620206122292
L9_MLP,L12_ATTN,0.851864086455797,0.851864086455797
L9_MLP,L12_MLP,0.11070659027678548,0.11070659027678548
L9_MLP,L13_ATTN,-0.8047592112894306,0.8047592112894306
L9_MLP,L13_MLP,-0.7923927053962645,0.7923927053962645
L9_MLP,L14_ATTN,-0.3227658384180213,0.3227658384180213
L9_MLP,L14_MLP,-0.6014534788226252,0.6014534788226252
L9_MLP,L15_ATTN,0.16715291487003567,0.16715291487003567
L9_MLP,L15_MLP,-0.4162430190385492,0.4162430190385492
L9_MLP,L16_ATTN,0.7564562250846447,0.7564562250846447
L9_MLP,L16_MLP,0.4195231118813157,0.4195231118813157
L9_MLP,L17_ATTN,0.4662093395978943,0.4662093395978943
L9_MLP,L17_MLP,0.28915583352344476,0.28915583352344476
L9_MLP,L18_ATTN,-0.040868244730727935,0.040868244730727935
L9_MLP,L18_MLP,-0.17332380832668864,0.17332380832668864
L9_MLP,L19_ATTN,-0.3498344745790576,0.3498344745790576
L9_MLP,L19_MLP,0.4135135047390607,0.4135135047390607
L9_MLP,L1_ATTN,-0.24466245803138542,0.24466245803138542
L9_MLP,L1_MLP,0.42835293687811926,0.42835293687811926
L9_MLP,L20_ATTN,0.7874313252181239,0.7874313252181239
L9_MLP,L20_MLP,0.21762818062324576,0.21762818062324576
L9_MLP,L21_ATTN,0.3537383829007967,0.3537383829007967
L9_MLP,L21_MLP,0.46739688103569865,0.46739688103569865
L9_MLP,L22_ATTN,0.6594333679930359,0.6594333679930359
L9_MLP,L22_MLP,0.7240807722542407,0.7240807722542407
L9_MLP,L23_ATTN,0.6350609410888352,0.6350609410888352
L9_MLP,L23_MLP,0.7970614260912268,0.7970614260912268
L9_MLP,L24_ATTN,0.7607227759712177,0.7607227759712177
L9_MLP,L24_MLP,0.6955485155139511,0.6955485155139511
L9_MLP,L25_ATTN,0.1728710132986085,0.1728710132986085
L9_MLP,L25_MLP,0.6331339796352362,0.6331339796352362
L9_MLP,L2_ATTN,-0.3704932228483488,0.3704932228483488
L9_MLP,L2_MLP,-0.4283529368781194,0.4283529368781194
L9_MLP,L3_ATTN,0.18359091549446052,0.18359091549446052
L9_MLP,L3_MLP,-0.14050865857937972,0.14050865857937972
L9_MLP,L4_ATTN,0.5757816212518415,0.5757816212518415
L9_MLP,L4_MLP,-0.17051920704197912,0.17051920704197912
L9_MLP,L5_ATTN,-0.3736059095520531,0.3736059095520531
L9_MLP,L5_MLP,-0.3212233035326982,0.3212233035326982
L9_MLP,L6_ATTN,-0.23060064409319597,0.23060064409319597
L9_MLP,L6_MLP,-0.18867821798434137,0.18867821798434137
L9_MLP,L7_ATTN,-0.03993207220010792,0.03993207220010792
L9_MLP,L7_MLP,0.3877592155880935,0.3877592155880935
L9_MLP,L8_ATTN,-0.09854905040545568,0.09854905040545568
L9_MLP,L8_MLP,0.019674348589036172,0.019674348589036172
L9_MLP,L9_ATTN,-0.3044306416677516,0.3044306416677516
L9_ATTN,L0_ATTN,-0.5257047516994972,0.5257047516994972
L9_ATTN,L0_MLP,-0.959365337776022,0.959365337776022
L9_ATTN,L10_ATTN,-0.4884481467426191,0.4884481467426191
L9_ATTN,L10_MLP,0.8967483160426108,0.8967483160426108
L9_ATTN,L11_ATTN,0.5500922912277201,0.5500922912277201
L9_ATTN,L11_MLP,0.9385866058720103,0.9385866058720103
L9_ATTN,L12_ATTN,-0.4669705299377207,0.4669705299377207
L9_ATTN,L12_MLP,0.5317302824957352,0.5317302824957352
L9_ATTN,L13_ATTN,0.1401469909030007,0.1401469909030007
L9_ATTN,L13_MLP,0.6573558154951494,0.6573558154951494
L9_ATTN,L14_ATTN,-0.4468674255361289,0.4468674255361289
L9_ATTN,L14_MLP,0.061686636691368334,0.061686636691368334
L9_ATTN,L15_ATTN,-0.9094512993463292,0.9094512993463292
L9_ATTN,L15_MLP,-0.2564988702939934,0.2564988702939934
L9_ATTN,L16_ATTN,0.2231515743867971,0.2231515743867971
L9_ATTN,L16_MLP,-0.6431654297464601,0.6431654297464601
L9_ATTN,L17_ATTN,0.0428776477614778,0.0428776477614778
L9_ATTN,L17_MLP,-0.3760447096911405,0.3760447096911405
L9_ATTN,L18_ATTN,-0.2257984052567892,0.2257984052567892
