scenario,model,L0_delta,L3_delta,L9_delta,L16_delta,final_delta,dip_magnitude,dip_direction
CC_continue,base,-7.5,-0.328125,-5.904947916666667,-0.029947916666666668,-1.3971354166666667,5.576822916666667,cooperative
CC_continue,PT2_COREDe,-7.4375,-0.3385416666666667,-6.009765625,-0.2682291666666667,0.7265625,5.671223958333333,cooperative
CC_continue,PT3_COREDe,-7.458333333333333,-0.3958333333333333,-5.354817708333333,-0.9348958333333334,-4.016276041666667,4.958984375,cooperative
CC_continue,PT3_COREUt,-7.479166666666667,-0.3645833333333333,-5.5234375,-0.6455078125,-1.6692708333333333,5.158854166666667,cooperative
CC_continue,PT4_COREDe,-7.5,-0.2760416666666667,-5.531901041666667,-1.9495442708333333,-3.9427083333333335,5.255859375,cooperative
CC_temptation,base,-7.5625,-0.40625,-5.672200520833333,0.6412760416666666,-0.9375,5.265950520833333,cooperative
CC_temptation,PT2_COREDe,-7.5625,-0.4270833333333333,-5.8037109375,1.2434895833333333,5.6328125,5.376627604166667,cooperative
CC_temptation,PT3_COREDe,-7.5625,-0.5104166666666666,-5.145182291666667,-0.24479166666666666,-3.4166666666666665,4.634765625,cooperative
CC_temptation,PT3_COREUt,-7.541666666666667,-0.453125,-5.280924479166667,-0.10384114583333333,-1.4296875,4.827799479166667,cooperative
CC_temptation,PT4_COREDe,-7.5625,-0.3854166666666667,-5.318359375,-1.1944173177083333,-2.796875,4.932942708333333,cooperative
CD_punished,base,-7.479166666666667,-0.3489583333333333,-5.825520833333333,0.078125,-1.4140625,5.4765625,cooperative
CD_punished,PT2_COREDe,-7.458333333333333,-0.3854166666666667,-5.939453125,0.3307291666666667,1.58984375,5.554036458333333,cooperative
CD_punished,PT3_COREDe,-7.5,-0.4322916666666667,-5.272135416666667,-0.5768229166666666,-4.272135416666667,4.83984375,cooperative
CD_punished,PT3_COREUt,-7.458333333333333,-0.3958333333333333,-5.454427083333333,-0.5152994791666666,-1.7473958333333333,5.05859375,cooperative
CD_punished,PT4_COREDe,-7.4375,-0.3333333333333333,-5.452473958333333,1.4876302083333333,4.346354166666667,5.119140625,cooperative
DC_exploited,base,-7.458333333333333,-0.3645833333333333,-5.833333333333333,-0.033854166666666664,-0.78515625,5.46875,cooperative
DC_exploited,PT2_COREDe,-7.458333333333333,-0.3854166666666667,-5.942708333333333,1.0234375,8.141927083333334,5.557291666666666,cooperative
DC_exploited,PT3_COREDe,-7.5,-0.4322916666666667,-5.291015625,-0.9596354166666666,-3.3997395833333335,4.858723958333333,cooperative
DC_exploited,PT3_COREUt,-7.4375,-0.3958333333333333,-5.453776041666667,-0.3238932291666667,-1.1796875,5.057942708333334,cooperative
DC_exploited,PT4_COREDe,-7.479166666666667,-0.328125,-5.470052083333333,-2.3935546875,-3.359375,5.141927083333333,cooperative
DD_trapped,base,-7.5,-0.3802083333333333,-5.847005208333333,-0.034505208333333336,-0.9934895833333334,5.466796875,cooperative
DD_trapped,PT2_COREDe,-7.479166666666667,-0.3697916666666667,-5.963541666666667,1.1015625,7.243489583333333,5.59375,cooperative
DD_trapped,PT3_COREDe,-7.5,-0.453125,-5.302083333333333,-0.7291666666666666,-3.451171875,4.848958333333333,cooperative
DD_trapped,PT3_COREUt,-7.479166666666667,-0.4010416666666667,-5.453125,-0.5286458333333334,-1.578125,5.052083333333333,cooperative
DD_trapped,PT4_COREDe,-7.479166666666667,-0.3125,-5.462239583333333,1.8365885416666667,4.135416666666667,5.149739583333333,cooperative
