model1,model2,model1_mean_dip,model2_mean_dip,difference,t_statistic,p_value,significant
base,PT2_COREDe,5.4509765625,5.5505859375,-0.099609375,-1.4227892709674042,0.19259891493219575,No
base,PT3_COREDe,5.4509765625,4.828255208333333,0.622721354166667,8.50127181216895,2.8123038764204108e-05,Yes
base,PT3_COREUt,5.4509765625,5.0310546875,0.419921875,5.640176581959582,0.0004869421679832251,Yes
base,PT4_COREDe,5.4509765625,5.119921874999999,0.3310546875000009,4.545094453803433,0.001886506211040394,Yes
PT2_COREDe,PT3_COREDe,5.5505859375,4.828255208333333,0.722330729166667,10.077443632995863,8.012869797525397e-06,Yes
PT2_COREDe,PT3_COREUt,5.5505859375,5.0310546875,0.51953125,7.126099335610949,9.940133594380437e-05,Yes
PT2_COREDe,PT4_COREDe,5.5505859375,5.119921874999999,0.4306640625000009,6.043873930953966,0.00030799907973969005,Yes
PT3_COREDe,PT3_COREUt,4.828255208333333,5.0310546875,-0.20279947916666696,-2.6676228461685385,0.02846697446272185,Yes
PT3_COREDe,PT4_COREDe,4.828255208333333,5.119921874999999,-0.2916666666666661,-3.9180123577784047,0.004430774725818238,Yes
PT3_COREUt,PT4_COREDe,5.0310546875,5.119921874999999,-0.08886718749999911,-1.1751018078587712,0.2737412082346795,No
