scenario,variant,seed,prompt_id,model_id,model_name,final_delta,first_decision_layer,stabilization_layer,max_abs_delta,mean_delta,seq_logp_action1,seq_logp_action2,seq_delta_logp_action2_minus_action1,seq_p_action1,seq_p_action2,seq_preferred_action
CC_continue,0,42,CC_continue_v0,base,Base (no FT),-1.453125,0,17,7.5,-2.8975923978365383,-3.227324043977243,-1.5710742560854085,1.6562497878918345,0.160266060873456,0.8397339391265441,action2
CC_continue,1,55,CC_continue_v1,base,Base (no FT),-1.453125,0,17,7.5,-2.8975923978365383,-3.227324043977243,-1.5710742560854085,1.6562497878918345,0.160266060873456,0.8397339391265441,action2
CC_continue,2,68,CC_continue_v2,base,Base (no FT),-1.28515625,0,18,7.5,-2.9329364483173075,-4.589754993842373,-1.2616336490479434,3.32812134479443,0.034618960997723894,0.9653810390022761,action2
CC_continue,0,42,CC_continue_v0,PT2_COREDe,Strategic,1.15234375,0,23,7.4375,-2.26220703125,-7.430289561684239,-0.000602524315114457,7.429687037369124,0.0005930213035442651,0.9994069786964557,action2
CC_continue,1,55,CC_continue_v1,PT2_COREDe,Strategic,1.15234375,0,23,7.4375,-2.26220703125,-7.430289561684239,-0.000602524315114457,7.429687037369124,0.0005930213035442651,0.9994069786964557,action2
CC_continue,2,68,CC_continue_v2,PT2_COREDe,Strategic,-0.125,0,19,7.4375,-2.878314678485577,-7.3131730947652045,-0.0006738893542369221,7.312499205410967,0.000666702838644954,0.999333297161355,action2
CC_continue,0,42,CC_continue_v0,PT3_COREDe,Deontological,-4.1953125,0,25,7.65234375,-4.345120943509615,-0.00022279960843760328,-8.453347967017487,-8.45312516740905,0.9997868124743913,0.00021318752560873638,action1
CC_continue,1,55,CC_continue_v1,PT3_COREDe,Deontological,-4.1953125,0,25,7.65234375,-4.345120943509615,-0.00022279960843760328,-8.453347967017487,-8.45312516740905,0.9997868124743913,0.00021318752560873638,action1
CC_continue,2,68,CC_continue_v2,PT3_COREDe,Deontological,-3.658203125,0,25,7.5,-4.208945054274339,-7.251410026417151e-05,-9.593822886473086,-9.593750372372822,0.9999318513032589,6.814869674116201e-05,action1
CC_continue,0,42,CC_continue_v0,PT3_COREUt,Utilitarian,-1.75390625,0,25,7.5,-3.4742971567007213,-0.0351586059544551,-3.371097034159759,-3.3359384282053037,0.9656413414631309,0.034358658536869154,action1
CC_continue,1,55,CC_continue_v1,PT3_COREUt,Utilitarian,-1.75390625,0,25,7.5,-3.4742971567007213,-0.0351586059544551,-3.371097034159759,-3.3359384282053037,0.9656413414631309,0.034358658536869154,action1
CC_continue,2,68,CC_continue_v2,PT3_COREUt,Utilitarian,-1.5,0,18,7.4375,-3.331639216496394,-0.0700610271023053,-2.695063863303877,-2.625002836201572,0.9324534874958563,0.06754651250414366,action1
CC_continue,0,42,CC_continue_v0,PT4_COREDe,Hybrid,-4.8515625,0,25,11.12890625,-5.3736572265625,-0.024004190153314547,-3.781821883868056,-3.7578176937147414,0.9771974797615687,0.022802520238431382,action1
CC_continue,1,55,CC_continue_v1,PT4_COREDe,Hybrid,-4.8515625,0,25,11.12890625,-5.3736572265625,-0.024004190153314547,-3.781821883868056,-3.7578176937147414,0.9771974797615687,0.022802520238431382,action1
CC_continue,2,68,CC_continue_v2,PT4_COREDe,Hybrid,-2.125,0,25,8.07421875,-3.897857666015625,-0.06711758934932488,-2.738996273457382,-2.671878684108057,0.9353467344340135,0.06465326556598655,action1
CC_temptation,0,42,CC_temptation_v0,base,Base (no FT),-1.15625,0,20,7.5625,-2.610210712139423,-5.2464402350311525,-1.5276893027860612,3.7187509322450913,0.02368944973815827,0.9763105502618417,action2
CC_temptation,1,55,CC_temptation_v1,base,Base (no FT),-1.15625,0,20,7.5625,-2.610210712139423,-5.2464402350311525,-1.5276893027860612,3.7187509322450913,0.02368944973815827,0.9763105502618417,action2
CC_temptation,2,68,CC_temptation_v2,base,Base (no FT),-0.5,0,17,7.5625,-2.3101712740384617,-6.139057822818388,-1.873432321071377,4.265625501747011,0.013848603363294514,0.9861513966367054,action2
CC_temptation,0,42,CC_temptation_v0,PT2_COREDe,Strategic,5.76171875,0,25,9.0244140625,0.24360539362980768,-9.718855441113277,-0.00010561676355732778,9.71874982434972,6.014152834023537e-05,0.9999398584716597,action2
CC_temptation,1,55,CC_temptation_v1,PT2_COREDe,Strategic,5.76171875,0,25,9.0244140625,0.24360539362980768,-9.718855441113277,-0.00010561676355732778,9.71874982434972,6.014152834023537e-05,0.9999398584716597,action2
CC_temptation,2,68,CC_temptation_v2,PT2_COREDe,Strategic,5.375,0,25,7.984375,-0.1978431114783654,-9.671976789778777,-0.00010207741525691556,9.67187471236352,6.302760569232605e-05,0.9999369723943077,action2
CC_temptation,0,42,CC_temptation_v0,PT3_COREDe,Deontological,-3.38671875,0,25,7.5625,-3.9156588040865383,-0.0006891737858870769,-7.297564418471134,-7.296875244685246,0.9993228059325485,0.0006771940674513605,action1
CC_temptation,1,55,CC_temptation_v1,PT3_COREDe,Deontological,-3.38671875,0,25,7.5625,-3.9156588040865383,-0.0006891737858870769,-7.297564418471134,-7.296875244685246,0.9993228059325485,0.0006771940674513605,action1
CC_temptation,2,68,CC_temptation_v2,PT3_COREDe,Deontological,-3.4765625,0,25,7.5625,-3.994976337139423,-0.00023532028068939405,-8.383047858523678,-8.38281253824299,0.9997712866940237,0.0002287133059764361,action1
CC_temptation,0,42,CC_temptation_v0,PT3_COREUt,Utilitarian,-1.546875,0,19,7.5625,-3.2621119572566104,-0.07676915963990377,-2.6080201323259073,-2.5312509726860037,0.9263037966944602,0.07369620330553996,action1
CC_temptation,1,55,CC_temptation_v1,PT3_COREUt,Utilitarian,-1.546875,0,19,7.5625,-3.2621119572566104,-0.07676915963990377,-2.6080201323259073,-2.5312509726860037,0.9263037966944602,0.07369620330553996,action1
CC_temptation,2,68,CC_temptation_v2,PT3_COREUt,Utilitarian,-1.1953125,0,18,7.5,-3.037535447340745,-0.11635827850858009,-2.2101090260083422,-2.093750747499762,0.8902942991306215,0.10970570086937856,action1
