scenario,model_id,model_name,n_variants,final_delta_mean,final_delta_std,final_delta_min,final_delta_max,first_decision_layer,stabilization_layer,max_abs_delta,mean_delta
CC_continue,base,Base (no FT),3,-1.328125,0.15467960838455727,-1.546875,-1.21875,0,20,9.5,-2.699979341947116
CC_continue,PT2_COREDe,Strategic,3,-1.3125,0.1767766952966369,-1.5625,-1.1875,0,24,8.5,-2.670380421173878
CC_continue,PT3_COREDe,Deontological,3,-1.3125,0.1767766952966369,-1.5625,-1.1875,0,24,8.5,-2.6766936473357372
CC_continue,PT3_COREUt,Utilitarian,3,-1.3125,0.1767766952966369,-1.5625,-1.1875,0,24,8.833333333333334,-2.679220639742338
CC_continue,PT4_COREDe,Hybrid,3,-1.328125,0.15467960838455727,-1.546875,-1.21875,0,20,8.833333333333334,-2.6849756485376606
CC_temptation,base,Base (no FT),3,-1.5520833333333333,0.16204530402191714,-1.78125,-1.4375,0,24,9.166666666666666,-2.7186060196314097
CC_temptation,PT2_COREDe,Strategic,3,-1.546875,0.15467960838455727,-1.765625,-1.4375,0,24,9.5,-2.743909004407051
CC_temptation,PT3_COREDe,Deontological,3,-1.5416666666666667,0.19150808657135662,-1.8125,-1.40625,0,24,9.0,-2.7449732071314106
CC_temptation,PT3_COREUt,Utilitarian,3,-1.5729166666666667,0.19150808657135662,-1.84375,-1.4375,0,24,9.166666666666666,-2.7154102814503207
CC_temptation,PT4_COREDe,Hybrid,3,-1.5625,0.13258252147247765,-1.75,-1.46875,0,24,8.5,-2.709695962759165
CD_punished,base,Base (no FT),3,-1.3125,0.1767766952966369,-1.5625,-1.1875,0,20,9.0,-2.4733260717147427
CD_punished,PT2_COREDe,Strategic,3,-1.3229166666666667,0.1473139127471974,-1.53125,-1.21875,0,20,9.0,-2.4741586538461537
CD_punished,PT3_COREDe,Deontological,3,-1.3125,0.1988737822087165,-1.59375,-1.171875,0,20,9.0,-2.455973307291667
CD_punished,PT3_COREUt,Utilitarian,3,-1.3541666666666667,0.1473139127471974,-1.5625,-1.25,0,20,9.0,-2.471241486378205
CD_punished,PT4_COREDe,Hybrid,3,-1.4114583333333333,0.09575404328567831,-1.546875,-1.34375,0,20,9.0,-2.481266902043269
DC_exploited,base,Base (no FT),3,-1.203125,0.11048543456039805,-1.359375,-1.125,0,24,9.0,-2.690698868189102
DC_exploited,PT2_COREDe,Strategic,3,-1.203125,0.06629126073623882,-1.296875,-1.15625,0,24,9.0,-2.697196764823718
DC_exploited,PT3_COREDe,Deontological,3,-1.203125,0.11048543456039805,-1.359375,-1.125,0,24,9.0,-2.7052330603966346
DC_exploited,PT3_COREUt,Utilitarian,3,-1.2083333333333333,0.11785113019775792,-1.375,-1.125,0,24,9.0,-2.70552258613782
DC_exploited,PT4_COREDe,Hybrid,3,-1.1979166666666667,0.10311973892303819,-1.34375,-1.125,0,24,9.0,-2.6969385391626597
DD_trapped,base,Base (no FT),3,-1.1927083333333333,0.09575404328567831,-1.328125,-1.125,0,24,9.5,-2.575001252003205
DD_trapped,PT2_COREDe,Strategic,3,-1.203125,0.06629126073623882,-1.296875,-1.15625,0,24,9.5,-2.576184395032051
DD_trapped,PT3_COREDe,Deontological,3,-1.171875,0.11048543456039805,-1.328125,-1.09375,0,24,9.5,-2.5595264923878203
DD_trapped,PT3_COREUt,Utilitarian,3,-1.2083333333333333,0.07365695637359869,-1.3125,-1.15625,0,24,9.5,-2.571623973357372
DD_trapped,PT4_COREDe,Hybrid,3,-1.1510416666666667,0.12521682583511778,-1.328125,-1.0625,0,24,9.5,-2.5874766814403047
