scenario,model_id,model_name,n_variants,final_delta_mean,final_delta_std,final_delta_min,final_delta_max,first_decision_layer,stabilization_layer,max_abs_delta,mean_delta
CC_continue,base,Base (no FT),3,-1.0208333333333333,0.05892556509887896,-1.0625,-0.9375,0,24,9.5,-2.3262469951923075
CC_continue,PT2_COREDe,Strategic,3,-0.9479166666666666,0.01473139127471974,-0.96875,-0.9375,0,24,9.5,-2.321013621794872
CC_continue,PT3_COREDe,Deontological,3,-1.0208333333333333,0.01473139127471974,-1.03125,-1.0,0,23,9.5,-2.3121243990384617
CC_continue,PT3_COREUt,Utilitarian,3,-1.0208333333333333,0.05892556509887896,-1.0625,-0.9375,0,24,9.5,-2.3301532451923075
CC_continue,PT4_COREDe,Hybrid,3,-1.0416666666666667,0.02946278254943948,-1.0625,-1.0,0,23,9.5,-2.3068910256410255
CC_temptation,base,Base (no FT),3,-0.6666666666666666,0.14731391274719738,-0.875,-0.5625,0,21,8.5,-2.2493771284054485
CC_temptation,PT2_COREDe,Strategic,3,-0.6875,0.1767766952966369,-0.9375,-0.5625,0,21,8.5,-2.271831805889423
CC_temptation,PT3_COREDe,Deontological,3,-0.6458333333333334,0.20623947784607635,-0.9375,-0.5,0,21,8.5,-2.258111807016226
CC_temptation,PT3_COREUt,Utilitarian,3,-0.6666666666666666,0.1915080865713566,-0.9375,-0.53125,0,21,8.5,-2.271622095352564
CC_temptation,PT4_COREDe,Hybrid,3,-0.6458333333333334,0.20623947784607635,-0.9375,-0.5,0,21,8.5,-2.2800355568910255
CD_punished,base,Base (no FT),3,-0.9270833333333334,0.05892556509887896,-0.96875,-0.84375,0,24,9.5,-2.466480744190705
CD_punished,PT2_COREDe,Strategic,3,-0.8958333333333334,0.01473139127471974,-0.90625,-0.875,0,24,9.5,-2.479730068108974
CD_punished,PT3_COREDe,Deontological,3,-0.8645833333333334,0.01473139127471974,-0.875,-0.84375,0,24,9.5,-2.4847506009615383
CD_punished,PT3_COREUt,Utilitarian,3,-0.8854166666666666,0.02946278254943948,-0.90625,-0.84375,0,24,9.5,-2.4783153044871797
CD_punished,PT4_COREDe,Hybrid,3,-0.8854166666666666,0.01473139127471974,-0.90625,-0.875,0,24,9.5,-2.458267603165064
DC_exploited,base,Base (no FT),3,-0.40625,0.3535533905932738,-0.65625,0.09375,0,24,9.5,-2.463489239032452
DC_exploited,PT2_COREDe,Strategic,3,-0.34375,0.30935921676911454,-0.5625,0.09375,0,24,9.5,-2.4408428485576925
DC_exploited,PT3_COREDe,Deontological,3,-0.4166666666666667,0.3830161731427133,-0.6875,0.125,0,24,9.5,-2.4632975260416665
DC_exploited,PT3_COREUt,Utilitarian,3,-0.40625,0.3535533905932738,-0.65625,0.09375,0,24,9.5,-2.4436473357371797
DC_exploited,PT4_COREDe,Hybrid,3,-0.40625,0.3535533905932738,-0.65625,0.09375,0,24,9.5,-2.4680966108273235
DD_trapped,base,Base (no FT),3,-0.90625,0.30935921676911454,-1.125,-0.46875,0,24,9.5,-2.5089017427884617
DD_trapped,PT2_COREDe,Strategic,3,-0.8020833333333334,0.2798964342196751,-1.0,-0.40625,0,24,9.5,-2.4913611778846154
DD_trapped,PT3_COREDe,Deontological,3,-0.8020833333333334,0.32409060804383427,-1.03125,-0.34375,0,24,9.5,-2.5146781725761214
DD_trapped,PT3_COREUt,Utilitarian,3,-0.7916666666666666,0.29462782549439476,-1.0,-0.375,0,24,9.5,-2.497552333733974
DD_trapped,PT4_COREDe,Hybrid,3,-0.8541666666666666,0.29462782549439476,-1.0625,-0.4375,0,24,9.5,-2.4915176782852564
