scenario,variant,minimal_circuit,circuit_size
CC_continue,0,"[""L8H0"", ""L8H1"", ""L8H2"", ""L8H3"", ""L8H4"", ""L8H5"", ""L8H6"", ""L8H7"", ""L7_MLP"", ""L9H0""]",10
CC_continue,1,"[""L8H0"", ""L8H1"", ""L8H2"", ""L8H3"", ""L8H4"", ""L8H5"", ""L8H6"", ""L8H7"", ""L7_MLP"", ""L9H0""]",10
CC_continue,2,"[""L13H0"", ""L13H1"", ""L13H2"", ""L13H3"", ""L13H4"", ""L13H5"", ""L13H6"", ""L13H7"", ""L23H0"", ""L23H1""]",10
CC_temptation,0,"[""L2H0"", ""L2H1"", ""L2H2"", ""L2H3"", ""L2H4"", ""L2H5"", ""L2H6"", ""L2H7"", ""L4H0"", ""L4H1""]",10
CC_temptation,1,"[""L2H0"", ""L2H1"", ""L2H2"", ""L2H3"", ""L2H4"", ""L2H5"", ""L2H6"", ""L2H7"", ""L4H0"", ""L4H1""]",10
CC_temptation,2,"[""L2H0"", ""L2H1"", ""L2H2"", ""L2H3"", ""L2H4"", ""L2H5"", ""L2H6"", ""L2H7"", ""L7H0"", ""L7H1""]",10
CD_punished,0,"[""L16_MLP"", ""L19H0"", ""L19H1"", ""L19H2"", ""L19H3"", ""L19H4"", ""L19H5"", ""L19H6"", ""L19H7"", ""L25H0""]",10
CD_punished,1,"[""L16_MLP"", ""L19H0"", ""L19H1"", ""L19H2"", ""L19H3"", ""L19H4"", ""L19H5"", ""L19H6"", ""L19H7"", ""L25H0""]",10
CD_punished,2,"[""L13H0"", ""L13H1"", ""L13H2"", ""L13H3"", ""L13H4"", ""L13H5"", ""L13H6"", ""L13H7"", ""L8_MLP"", ""L10H0""]",10
DC_exploited,0,"[""L1H0"", ""L1H1"", ""L1H2"", ""L1H3"", ""L1H4"", ""L1H5"", ""L1H6"", ""L1H7"", ""L3H0"", ""L3H1""]",10
DC_exploited,1,"[""L1H0"", ""L1H1"", ""L1H2"", ""L1H3"", ""L1H4"", ""L1H5"", ""L1H6"", ""L1H7"", ""L3H0"", ""L3H1""]",10
DC_exploited,2,"[""L4H0"", ""L4H1"", ""L4H2"", ""L4H3"", ""L4H4"", ""L4H5"", ""L4H6"", ""L4H7"", ""L6H0"", ""L6H1""]",10
DD_trapped,0,"[""L2_MLP"", ""L2H0"", ""L2H1"", ""L2H2"", ""L2H3"", ""L2H4"", ""L2H5"", ""L2H6"", ""L2H7"", ""L5H0""]",10
DD_trapped,1,"[""L2_MLP"", ""L2H0"", ""L2H1"", ""L2H2"", ""L2H3"", ""L2H4"", ""L2H5"", ""L2H6"", ""L2H7"", ""L5H0""]",10
DD_trapped,2,"[""L1H0"", ""L1H1"", ""L1H2"", ""L1H3"", ""L1H4"", ""L1H5"", ""L1H6"", ""L1H7"", ""L7H0"", ""L7H1""]",10
