component,mean_abs_delta_change,max_abs_delta_change,mean_effect_size,max_effect_size,flips,experiment,rank_in_experiment
L16H4,2.596354244825633,4.96875017850868,0.3157382744310775,0.5353534893650083,0,PT2_COREDe_to_PT3_COREDe,1
L16H3,2.596354244825633,4.96875017850868,0.3157382744310775,0.5353534893650083,0,PT2_COREDe_to_PT3_COREDe,2
L16H5,2.596354244825633,4.96875017850868,0.3157382744310775,0.5353534893650083,0,PT2_COREDe_to_PT3_COREDe,3
L16H2,2.596354244825633,4.96875017850868,0.3157382744310775,0.5353534893650083,0,PT2_COREDe_to_PT3_COREDe,4
L16H1,2.596354244825633,4.96875017850868,0.3157382744310775,0.5353534893650083,0,PT2_COREDe_to_PT3_COREDe,5
L16H0,2.596354244825633,4.96875017850868,0.3157382744310775,0.5353534893650083,0,PT2_COREDe_to_PT3_COREDe,6
L16H6,2.596354244825633,4.96875017850868,0.3157382744310775,0.5353534893650083,0,PT2_COREDe_to_PT3_COREDe,7
L16H7,2.596354244825633,4.96875017850868,0.3157382744310775,0.5353534893650083,0,PT2_COREDe_to_PT3_COREDe,8
L16_MLP,1.756770918531492,2.1249998169671978,0.21370686155768573,0.2547452533233179,0,PT2_COREDe_to_PT3_COREDe,9
L25_MLP,1.5213540692264629,2.054687274958214,0.1826205718632696,0.2219408825745723,0,PT2_COREDe_to_PT3_COREDe,10
L19H5,1.058854238816462,1.6093749795529853,0.13131533288551736,0.214807054222185,0,PT2_COREDe_to_PT3_COREDe,11
L19H0,1.058854238816462,1.6093749795529853,0.13131533288551736,0.214807054222185,0,PT2_COREDe_to_PT3_COREDe,12
L19H7,1.058854238816462,1.6093749795529853,0.13131533288551736,0.214807054222185,0,PT2_COREDe_to_PT3_COREDe,13
L19H6,1.058854238816462,1.6093749795529853,0.13131533288551736,0.214807054222185,0,PT2_COREDe_to_PT3_COREDe,14
L19H4,1.058854238816462,1.6093749795529853,0.13131533288551736,0.214807054222185,0,PT2_COREDe_to_PT3_COREDe,15
L19H3,1.058854238816462,1.6093749795529853,0.13131533288551736,0.214807054222185,0,PT2_COREDe_to_PT3_COREDe,16
L19H2,1.058854238816462,1.6093749795529853,0.13131533288551736,0.214807054222185,0,PT2_COREDe_to_PT3_COREDe,17
L19H1,1.058854238816462,1.6093749795529853,0.13131533288551736,0.214807054222185,0,PT2_COREDe_to_PT3_COREDe,18
L14_MLP,0.8953125669974834,1.3984375503103117,0.11038252788698856,0.1916487964735427,0,PT2_COREDe_to_PT3_COREDe,19
L18H5,0.8880209711356273,1.7343751325682302,0.1082221102360566,0.2217782076516041,0,PT2_COREDe_to_PT3_COREDe,20
L18H6,0.8880209711356273,1.7343751325682302,0.1082221102360566,0.2217782076516041,0,PT2_COREDe_to_PT3_COREDe,21
L18H7,0.8880209711356273,1.7343751325682302,0.1082221102360566,0.2217782076516041,0,PT2_COREDe_to_PT3_COREDe,22
L18H0,0.8880209711356273,1.7343751325682302,0.1082221102360566,0.2217782076516041,0,PT2_COREDe_to_PT3_COREDe,23
L18H1,0.8880209711356273,1.7343751325682302,0.1082221102360566,0.2217782076516041,0,PT2_COREDe_to_PT3_COREDe,24
L18H2,0.8880209711356273,1.7343751325682302,0.1082221102360566,0.2217782076516041,0,PT2_COREDe_to_PT3_COREDe,25
L18H3,0.8880209711356273,1.7343751325682302,0.1082221102360566,0.2217782076516041,0,PT2_COREDe_to_PT3_COREDe,26
L18H4,0.8880209711356273,1.7343751325682302,0.1082221102360566,0.2217782076516041,0,PT2_COREDe_to_PT3_COREDe,27
L15_MLP,0.8281249608943236,1.351562378502801,0.09980423012606753,0.145991533989327,0,PT2_COREDe_to_PT3_COREDe,28
L23H0,0.7406249898761182,1.0781252143482671,0.09034105050987214,0.1275415973920949,0,PT2_COREDe_to_PT3_COREDe,29
L23H7,0.7406249898761182,1.0781252143482671,0.09034105050987214,0.1275415973920949,0,PT2_COREDe_to_PT3_COREDe,30
L23H1,0.7406249898761182,1.0781252143482671,0.09034105050987214,0.1275415973920949,0,PT2_COREDe_to_PT3_COREDe,31
L23H2,0.7406249898761182,1.0781252143482671,0.09034105050987214,0.1275415973920949,0,PT2_COREDe_to_PT3_COREDe,32
L23H3,0.7406249898761182,1.0781252143482671,0.09034105050987214,0.1275415973920949,0,PT2_COREDe_to_PT3_COREDe,33
L23H4,0.7406249898761182,1.0781252143482671,0.09034105050987214,0.1275415973920949,0,PT2_COREDe_to_PT3_COREDe,34
L23H5,0.7406249898761182,1.0781252143482671,0.09034105050987214,0.1275415973920949,0,PT2_COREDe_to_PT3_COREDe,35
L23H6,0.7406249898761182,1.0781252143482671,0.09034105050987214,0.1275415973920949,0,PT2_COREDe_to_PT3_COREDe,36
L24_MLP,0.6963542479672505,1.2500000579645896,0.087316033460042,0.1598401448533695,0,PT2_COREDe_to_PT3_COREDe,37
L13_MLP,0.6567708050224685,0.7968752221490103,0.07893706223150505,0.0920770781372466,0,PT2_COREDe_to_PT3_COREDe,38
L15H7,0.6286459897150212,1.3984379302109016,0.07423737870443456,0.1506734286696395,0,PT2_COREDe_to_PT3_COREDe,39
L15H6,0.6286459897150212,1.3984379302109016,0.07423737870443456,0.1506734286696395,0,PT2_COREDe_to_PT3_COREDe,40
L15H5,0.6286459897150212,1.3984379302109016,0.07423737870443456,0.1506734286696395,0,PT2_COREDe_to_PT3_COREDe,41
