component,experiments_present,avg_rank,median_rank,best_rank,mean_of_mean_abs_delta,max_of_max_abs_delta,mean_effect_size,max_effect_size,total_flips
L25_MLP,4,5.5,5.5,1,1.3754562102275503,2.054687274958214,0.32049799098500864,0.5986850883341049,0
L16H4,4,9.5,6.5,1,1.3227868770004276,4.96875017850868,0.23869575379090383,0.711268959400882,0
L16H1,4,10.25,6.5,2,1.3227868770004276,4.96875017850868,0.23869575379090383,0.711268959400882,0
L16H3,4,10.0,4.0,2,1.3227868770004276,4.96875017850868,0.23869575379090383,0.711268959400882,0
L16H5,4,10.75,6.5,3,1.3227868770004276,4.96875017850868,0.23869575379090383,0.711268959400882,0
L16H7,4,10.75,5.5,3,1.3227868770004276,4.96875017850868,0.23869575379090383,0.711268959400882,0
L16H0,4,11.75,7.5,4,1.3227868770004276,4.96875017850868,0.23869575379090383,0.711268959400882,0
L16H2,4,10.25,6.0,4,1.3227868770004276,4.96875017850868,0.23869575379090383,0.711268959400882,0
L16H6,4,10.75,8.0,4,1.3227868770004276,4.96875017850868,0.23869575379090383,0.711268959400882,0
L16_MLP,4,39.5,10.5,1,1.095702200782695,2.406249927940296,0.17528082975501477,0.3432822381277837,0
L18H7,4,17.25,18.0,11,0.6820311747971807,1.7343751325682302,0.14085610677280536,0.3630939597086914,0
L18H5,4,16.25,16.5,12,0.6820311747971807,1.7343751325682302,0.14085610677280536,0.3630939597086914,0
L18H6,4,18.0,19.0,13,0.6820311747971807,1.7343751325682302,0.14085610677280536,0.3630939597086914,0
L18H1,4,19.25,19.5,14,0.6820311747971807,1.7343751325682302,0.14085610677280536,0.3630939597086914,0
L18H2,4,19.25,19.0,14,0.6820311747971807,1.7343751325682302,0.14085610677280536,0.3630939597086914,0
L18H0,4,17.25,15.5,15,0.6820311747971807,1.7343751325682302,0.14085610677280536,0.3630939597086914,0
L18H3,4,20.0,19.0,16,0.6820311747971807,1.7343751325682302,0.14085610677280536,0.3630939597086914,0
L18H4,4,20.75,19.0,18,0.6820311747971807,1.7343751325682302,0.14085610677280536,0.3630939597086914,0
L15_MLP,4,20.0,19.0,5,0.6630217455466396,1.351562378502801,0.156532631942976,0.457748877447193,0
L14_MLP,4,34.25,30.0,19,0.5753904087497674,1.3984375503103117,0.10195667706539321,0.2239996850997088,0
L24_MLP,4,31.75,38.0,3,0.5580724088380432,1.2500000579645896,0.13519912744532003,0.3355260446486532,0
L23H4,4,42.75,45.5,20,0.5003906129677339,1.3203121434945473,0.08172336406260511,0.1561921728537542,0
L23H0,4,42.75,42.0,21,0.5003906129677339,1.3203121434945473,0.08172336406260511,0.1561921728537542,0
L23H1,4,42.25,41.0,22,0.5003906129677339,1.3203121434945473,0.08172336406260511,0.1561921728537542,0
L23H2,4,45.0,45.0,23,0.5003906129677339,1.3203121434945473,0.08172336406260511,0.1561921728537542,0
L23H3,4,44.25,44.5,24,0.5003906129677339,1.3203121434945473,0.08172336406260511,0.1561921728537542,0
L23H5,4,43.75,44.5,25,0.5003906129677339,1.3203121434945473,0.08172336406260511,0.1561921728537542,0
L23H6,4,44.25,44.5,26,0.5003906129677339,1.3203121434945473,0.08172336406260511,0.1561921728537542,0
L23H7,4,43.0,41.0,27,0.5003906129677339,1.3203121434945473,0.08172336406260511,0.1561921728537542,0
L19_MLP,4,32.0,34.0,13,0.4824214710374032,1.1171877995893291,0.1036140864926041,0.2887314823379722,0
L17_MLP,4,65.75,74.0,2,0.4580731253633906,1.5078130983474458,0.1401303858914747,0.5820894331975031,0
L23_MLP,4,41.0,33.5,4,0.4520829194254946,0.921875207274624,0.13444145750179817,0.4559994120741538,0
L19H5,4,71.0,73.0,11,0.44752606436309605,1.6093749795529853,0.09017041904873324,0.295999731235706,0
L19H0,4,71.25,75.0,12,0.44752606436309605,1.6093749795529853,0.09017041904873324,0.295999731235706,0
L19H7,4,71.5,73.5,13,0.44752606436309605,1.6093749795529853,0.09017041904873324,0.295999731235706,0
L19H6,4,74.0,77.0,14,0.44752606436309605,1.6093749795529853,0.09017041904873324,0.295999731235706,0
L19H4,4,71.25,72.5,15,0.44752606436309605,1.6093749795529853,0.09017041904873324,0.295999731235706,0
L19H3,4,71.25,72.5,16,0.44752606436309605,1.6093749795529853,0.09017041904873324,0.295999731235706,0
