experiment,scenario,circuit_size,circuit
PT2_COREDe_to_PT3_COREDe,CC_continue,10,"[""L16_MLP"", ""L25_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7""]"
PT2_COREDe_to_PT3_COREDe,CC_continue,10,"[""L16_MLP"", ""L25_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7""]"
PT2_COREDe_to_PT3_COREDe,CC_continue,10,"[""L16_MLP"", ""L18H0"", ""L18H1"", ""L18H2"", ""L18H3"", ""L18H4"", ""L18H5"", ""L18H6"", ""L18H7"", ""L25_MLP""]"
PT2_COREDe_to_PT3_COREDe,CC_temptation,10,"[""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L16_MLP"", ""L14_MLP""]"
PT2_COREDe_to_PT3_COREDe,CC_temptation,10,"[""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L16_MLP"", ""L14_MLP""]"
PT2_COREDe_to_PT3_COREDe,CC_temptation,10,"[""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L16_MLP"", ""L25_MLP""]"
PT2_COREDe_to_PT3_COREDe,CD_punished,10,"[""L16_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L25_MLP""]"
PT2_COREDe_to_PT3_COREDe,CD_punished,10,"[""L16_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L25_MLP""]"
PT2_COREDe_to_PT3_COREDe,CD_punished,10,"[""L16_MLP"", ""L25_MLP"", ""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7""]"
PT2_COREDe_to_PT3_COREDe,DC_exploited,10,"[""L16H0"", ""L16H1"", ""L16H2"", ""L16H3"", ""L16H4"", ""L16H5"", ""L16H6"", ""L16H7"", ""L16_MLP"", ""L18H0""]"
