component,delta_change,effect_size,action_flipped
L5H3,-0.023958333333333335,0.03456888588797794,0
L5H4,-0.023958333333333335,0.03456888588797794,0
L5H6,-0.023958333333333335,0.03456888588797794,0
L5H7,-0.023958333333333335,0.03456888588797794,0
L5H2,-0.023958333333333335,0.03456888588797794,0
L5H1,-0.023958333333333335,0.03456888588797794,0
L5H0,-0.023958333333333335,0.03456888588797794,0
L5H5,-0.023958333333333335,0.03456888588797794,0
L4H5,-0.020833333333333332,0.031131527555143812,0
L4H7,-0.020833333333333332,0.031131527555143812,0
L4H0,-0.020833333333333332,0.031131527555143812,0
L4H1,-0.020833333333333332,0.031131527555143812,0
L4H2,-0.020833333333333332,0.031131527555143812,0
L4H3,-0.020833333333333332,0.031131527555143812,0
L4H6,-0.020833333333333332,0.031131527555143812,0
L4H4,-0.020833333333333332,0.031131527555143812,0
L10H6,-0.021875,0.03008486928422385,0
L10H7,-0.021875,0.03008486928422385,0
L10H0,-0.021875,0.03008486928422385,0
L10H5,-0.021875,0.03008486928422385,0
L10H3,-0.021875,0.03008486928422385,0
L10H2,-0.021875,0.03008486928422385,0
L10H1,-0.021875,0.03008486928422385,0
L10H4,-0.021875,0.03008486928422385,0
L18_MLP,-0.0125,0.029882762738775777,0
L4_MLP,-0.025,0.02975039385523579,0
L0H1,-0.015625,0.02960847724462094,0
L0H0,-0.015625,0.02960847724462094,0
L0H2,-0.015625,0.02960847724462094,0
L0H7,-0.015625,0.02960847724462094,0
L0H6,-0.015625,0.02960847724462094,0
L0H5,-0.015625,0.02960847724462094,0
L0H4,-0.015625,0.02960847724462094,0
L0H3,-0.015625,0.02960847724462094,0
L20H0,-0.023958333333333335,0.029323864730954156,0
L20H1,-0.023958333333333335,0.029323864730954156,0
L20H2,-0.023958333333333335,0.029323864730954156,0
L20H3,-0.023958333333333335,0.029323864730954156,0
L20H4,-0.023958333333333335,0.029323864730954156,0
L20H5,-0.023958333333333335,0.029323864730954156,0
L20H6,-0.023958333333333335,0.029323864730954156,0
L20H7,-0.023958333333333335,0.029323864730954156,0
L8H0,-0.008333333333333333,0.029246723049243584,0
L8H1,-0.008333333333333333,0.029246723049243584,0
L8H7,-0.008333333333333333,0.029246723049243584,0
L8H6,-0.008333333333333333,0.029246723049243584,0
L8H5,-0.008333333333333333,0.029246723049243584,0
L8H4,-0.008333333333333333,0.029246723049243584,0
L8H3,-0.008333333333333333,0.029246723049243584,0
L8H2,-0.008333333333333333,0.029246723049243584,0
L21H5,-0.029166666666666667,0.028872228970097547,0
L21H4,-0.029166666666666667,0.028872228970097547,0
L21H3,-0.029166666666666667,0.028872228970097547,0
L21H2,-0.029166666666666667,0.028872228970097547,0
L21H1,-0.029166666666666667,0.028872228970097547,0
L21H7,-0.029166666666666667,0.028872228970097547,0
L21H6,-0.029166666666666667,0.028872228970097547,0
L21H0,-0.029166666666666667,0.028872228970097547,0
L12H5,-0.025,0.028593945742191214,0
L12H6,-0.025,0.028593945742191214,0
L12H4,-0.025,0.028593945742191214,0
L12H3,-0.025,0.028593945742191214,0
L12H2,-0.025,0.028593945742191214,0
L12H1,-0.025,0.028593945742191214,0
L12H0,-0.025,0.028593945742191214,0
L12H7,-0.025,0.028593945742191214,0
L13H0,-0.0020833333333333333,0.02825293821084468,0
L13H1,-0.0020833333333333333,0.02825293821084468,0
L13H2,-0.0020833333333333333,0.02825293821084468,0
L13H3,-0.0020833333333333333,0.02825293821084468,0
L13H4,-0.0020833333333333333,0.02825293821084468,0
L13H6,-0.0020833333333333333,0.02825293821084468,0
L13H7,-0.0020833333333333333,0.02825293821084468,0
L13H5,-0.0020833333333333333,0.02825293821084468,0
L3_MLP,-0.010416666666666666,0.02794149269159051,0
L12_MLP,-0.014583333333333334,0.027674829582821022,0
L19_MLP,-0.019791666666666666,0.027664292155100575,0
L6H0,-0.003125,0.026594973594107334,0
L6H7,-0.003125,0.026594973594107334,0
L6H1,-0.003125,0.026594973594107334,0
L6H2,-0.003125,0.026594973594107334,0
L6H3,-0.003125,0.026594973594107334,0
L6H4,-0.003125,0.026594973594107334,0
L6H5,-0.003125,0.026594973594107334,0
L6H6,-0.003125,0.026594973594107334,0
L25H5,-0.017708333333333333,0.026494230935156557,0
L25H3,-0.017708333333333333,0.026494230935156557,0
L25H0,-0.017708333333333333,0.026494230935156557,0
L25H2,-0.017708333333333333,0.026494230935156557,0
L25H1,-0.017708333333333333,0.026494230935156557,0
L25H4,-0.017708333333333333,0.026494230935156557,0
L25H6,-0.017708333333333333,0.026494230935156557,0
L25H7,-0.017708333333333333,0.026494230935156557,0
L17_MLP,-0.016666666666666666,0.026386457055979896,0
L11_MLP,-0.009375,0.02623189910924554,0
L23_MLP,-0.010416666666666666,0.025881229862316998,0
L24H3,-0.023958333333333335,0.025825229487430698,0
L24H0,-0.023958333333333335,0.025825229487430698,0
L24H1,-0.023958333333333335,0.025825229487430698,0
L24H2,-0.023958333333333335,0.025825229487430698,0
L24H4,-0.023958333333333335,0.025825229487430698,0
L24H6,-0.023958333333333335,0.025825229487430698,0
L24H7,-0.023958333333333335,0.025825229487430698,0
L24H5,-0.023958333333333335,0.025825229487430698,0
L14_MLP,-0.004166666666666667,0.025500539118512085,0
L10_MLP,-0.017708333333333333,0.02498351872252171,0
L13_MLP,0.0010416666666666667,0.0249079214808231,0
L22_MLP,-0.026041666666666668,0.02427484304430743,0
L20_MLP,-0.007291666666666667,0.02426754394971912,0
L23H1,-0.016666666666666666,0.024061439217898294,0
L23H0,-0.016666666666666666,0.024061439217898294,0
L23H3,-0.016666666666666666,0.024061439217898294,0
L23H4,-0.016666666666666666,0.024061439217898294,0
L23H5,-0.016666666666666666,0.024061439217898294,0
L23H6,-0.016666666666666666,0.024061439217898294,0
L23H7,-0.016666666666666666,0.024061439217898294,0
L23H2,-0.016666666666666666,0.024061439217898294,0
L21_MLP,-0.007291666666666667,0.02374792203728182,0
L14H2,-0.017708333333333333,0.023676722195569107,0
L14H1,-0.017708333333333333,0.023676722195569107,0
L14H0,-0.017708333333333333,0.023676722195569107,0
L14H3,-0.017708333333333333,0.023676722195569107,0
L14H4,-0.017708333333333333,0.023676722195569107,0
L14H5,-0.017708333333333333,0.023676722195569107,0
L14H7,-0.017708333333333333,0.023676722195569107,0
L14H6,-0.017708333333333333,0.023676722195569107,0
L9_MLP,-0.01875,0.023596562509149935,0
L16_MLP,-0.003125,0.02260221080660281,0
L15_MLP,-0.017708333333333333,0.021166394239802242,0
L1_MLP,-0.013541666666666667,0.020559439967885822,0
L22H7,-0.003125,0.02049176529802963,0
L22H2,-0.003125,0.02049176529802963,0
L22H0,-0.003125,0.02049176529802963,0
L22H1,-0.003125,0.02049176529802963,0
L22H6,-0.003125,0.02049176529802963,0
L22H5,-0.003125,0.02049176529802963,0
L22H4,-0.003125,0.02049176529802963,0
L22H3,-0.003125,0.02049176529802963,0
L19H7,-0.009375,0.020101202035341024,0
L19H0,-0.009375,0.020101202035341024,0
L19H2,-0.009375,0.020101202035341024,0
L19H3,-0.009375,0.020101202035341024,0
L19H4,-0.009375,0.020101202035341024,0
L19H5,-0.009375,0.020101202035341024,0
L19H6,-0.009375,0.020101202035341024,0
L19H1,-0.009375,0.020101202035341024,0
L5_MLP,-0.0125,0.01966166292285365,0
L9H4,-0.009375,0.019392077956263857,0
L9H3,-0.009375,0.019392077956263857,0
L9H5,-0.009375,0.019392077956263857,0
L9H0,-0.009375,0.019392077956263857,0
L9H2,-0.009375,0.019392077956263857,0
L9H1,-0.009375,0.019392077956263857,0
L9H6,-0.009375,0.019392077956263857,0
L9H7,-0.009375,0.019392077956263857,0
L8_MLP,0.017708333333333333,0.019112419236265818,0
L7_MLP,-0.007291666666666667,0.018997919898176684,0
L17H3,-0.008333333333333333,0.01783637701645841,0
L17H0,-0.008333333333333333,0.01783637701645841,0
L17H1,-0.008333333333333333,0.01783637701645841,0
L17H2,-0.008333333333333333,0.01783637701645841,0
L17H6,-0.008333333333333333,0.01783637701645841,0
L17H5,-0.008333333333333333,0.01783637701645841,0
L17H4,-0.008333333333333333,0.01783637701645841,0
L17H7,-0.008333333333333333,0.01783637701645841,0
L6_MLP,0.004166666666666667,0.017827797422939943,0
L7H5,-0.016666666666666666,0.01696182280834043,0
L7H4,-0.016666666666666666,0.01696182280834043,0
L7H2,-0.016666666666666666,0.01696182280834043,0
L7H6,-0.016666666666666666,0.01696182280834043,0
L7H3,-0.016666666666666666,0.01696182280834043,0
L7H7,-0.016666666666666666,0.01696182280834043,0
L7H1,-0.016666666666666666,0.01696182280834043,0
L7H0,-0.016666666666666666,0.01696182280834043,0
L1H0,0.005208333333333333,0.01676483183697195,0
L1H7,0.005208333333333333,0.01676483183697195,0
L1H6,0.005208333333333333,0.01676483183697195,0
L1H5,0.005208333333333333,0.01676483183697195,0
L1H4,0.005208333333333333,0.01676483183697195,0
L1H3,0.005208333333333333,0.01676483183697195,0
L1H2,0.005208333333333333,0.01676483183697195,0
L1H1,0.005208333333333333,0.01676483183697195,0
L11H7,0.0,0.016338153816546422,0
L11H6,0.0,0.016338153816546422,0
L11H2,0.0,0.016338153816546422,0
L11H5,0.0,0.016338153816546422,0
L11H4,0.0,0.016338153816546422,0
L11H3,0.0,0.016338153816546422,0
L11H1,0.0,0.016338153816546422,0
L11H0,0.0,0.016338153816546422,0
L3H7,-0.01875,0.015864638858664338,0
L3H6,-0.01875,0.015864638858664338,0
L3H5,-0.01875,0.015864638858664338,0
L3H4,-0.01875,0.015864638858664338,0
L3H3,-0.01875,0.015864638858664338,0
L3H2,-0.01875,0.015864638858664338,0
L3H1,-0.01875,0.015864638858664338,0
L3H0,-0.01875,0.015864638858664338,0
L2_MLP,0.004166666666666667,0.015385034766890527,0
L15H6,-0.005208333333333333,0.014859567009451898,0
L15H7,-0.005208333333333333,0.014859567009451898,0
L15H4,-0.005208333333333333,0.014859567009451898,0
L15H0,-0.005208333333333333,0.014859567009451898,0
L15H1,-0.005208333333333333,0.014859567009451898,0
L15H2,-0.005208333333333333,0.014859567009451898,0
L15H5,-0.005208333333333333,0.014859567009451898,0
L15H3,-0.005208333333333333,0.014859567009451898,0
L16H1,-0.0010416666666666667,0.01464506714389369,0
L16H0,-0.0010416666666666667,0.01464506714389369,0
L16H2,-0.0010416666666666667,0.01464506714389369,0
L16H3,-0.0010416666666666667,0.01464506714389369,0
L16H4,-0.0010416666666666667,0.01464506714389369,0
L16H5,-0.0010416666666666667,0.01464506714389369,0
L16H6,-0.0010416666666666667,0.01464506714389369,0
L16H7,-0.0010416666666666667,0.01464506714389369,0
L18H7,-0.0020833333333333333,0.013134309216649402,0
L18H6,-0.0020833333333333333,0.013134309216649402,0
L18H5,-0.0020833333333333333,0.013134309216649402,0
L18H3,-0.0020833333333333333,0.013134309216649402,0
L18H4,-0.0020833333333333333,0.013134309216649402,0
L18H2,-0.0020833333333333333,0.013134309216649402,0
L18H1,-0.0020833333333333333,0.013134309216649402,0
L18H0,-0.0020833333333333333,0.013134309216649402,0
L24_MLP,-0.0125,0.012762026806013895,0
L0_MLP,-0.0020833333333333333,0.012214072404983657,0
L25_MLP,-0.010416666666666666,0.010922070724585814,0
L2H2,-0.0010416666666666667,0.010342258129143824,0
L2H1,-0.0010416666666666667,0.010342258129143824,0
L2H0,-0.0010416666666666667,0.010342258129143824,0
L2H4,-0.0010416666666666667,0.010342258129143824,0
L2H5,-0.0010416666666666667,0.010342258129143824,0
L2H6,-0.0010416666666666667,0.010342258129143824,0
L2H7,-0.0010416666666666667,0.010342258129143824,0
L2H3,-0.0010416666666666667,0.010342258129143824,0
