component,delta_change,effect_size,action_flipped
L25_MLP,-1.176042595246525,0.43607656106238013,0
L17_MLP,-1.036459080123971,0.3997903246125127,0
L24_MLP,-0.7989570046350146,0.2927400561027185,0
L23_MLP,0.4874988001320747,0.20170441434104552,0
L15_MLP,0.4697932190647577,0.17653471218772546,0
L22H6,-0.4677092280582642,0.17603352680405246,0
L22H4,-0.4677092280582642,0.17603352680405246,0
L22H3,-0.4677092280582642,0.17603352680405246,0
L22H2,-0.4677092280582642,0.17603352680405246,0
L22H1,-0.4677092280582642,0.17603352680405246,0
L22H0,-0.4677092280582642,0.17603352680405246,0
L22H5,-0.4677092280582642,0.17603352680405246,0
L22H7,-0.4677092280582642,0.17603352680405246,0
L18_MLP,-0.42968767741984687,0.17145479814163608,0
L18H2,-0.3911446219026498,0.15989894341972619,0
L18H1,-0.3911446219026498,0.15989894341972619,0
L18H0,-0.3911446219026498,0.15989894341972619,0
L18H7,-0.3911446219026498,0.15989894341972619,0
L18H5,-0.3911446219026498,0.15989894341972619,0
L18H6,-0.3911446219026498,0.15989894341972619,0
L18H4,-0.3911446219026498,0.15989894341972619,0
L18H3,-0.3911446219026498,0.15989894341972619,0
L16H5,-0.3005217126877155,0.1327500992613118,0
L16H7,-0.3005217126877155,0.1327500992613118,0
L16H6,-0.3005217126877155,0.1327500992613118,0
L16H4,-0.3005217126877155,0.1327500992613118,0
L16H0,-0.3005217126877155,0.1327500992613118,0
L16H1,-0.3005217126877155,0.1327500992613118,0
L16H3,-0.3005217126877155,0.1327500992613118,0
L16H2,-0.3005217126877155,0.1327500992613118,0
L22_MLP,-0.3281231683149778,0.10964122922600399,0
L19_MLP,-0.2645826001961,0.09959159671868854,0
L20H0,-0.24635369797071677,0.0920080219547561,0
L20H7,-0.24635369797071677,0.0920080219547561,0
L20H6,-0.24635369797071677,0.0920080219547561,0
L20H5,-0.24635369797071677,0.0920080219547561,0
L20H4,-0.24635369797071677,0.0920080219547561,0
L20H3,-0.24635369797071677,0.0920080219547561,0
L20H2,-0.24635369797071677,0.0920080219547561,0
L20H1,-0.24635369797071677,0.0920080219547561,0
L25H6,0.21562533884559912,0.08342510566835172,0
L25H7,0.21562533884559912,0.08342510566835172,0
L25H4,0.21562533884559912,0.08342510566835172,0
L25H5,0.21562533884559912,0.08342510566835172,0
L25H3,0.21562533884559912,0.08342510566835172,0
L25H2,0.21562533884559912,0.08342510566835172,0
L25H1,0.21562533884559912,0.08342510566835172,0
L25H0,0.21562533884559912,0.08342510566835172,0
L14_MLP,0.07864684766679352,0.07791026012943005,0
L11_MLP,-0.21093551952815212,0.07396330218999606,0
L1H0,0.19583250114179773,0.07380237857563722,0
L1H4,0.19583250114179773,0.07380237857563722,0
L1H3,0.19583250114179773,0.07380237857563722,0
L1H1,0.19583250114179773,0.07380237857563722,0
L1H2,0.19583250114179773,0.07380237857563722,0
L1H7,0.19583250114179773,0.07380237857563722,0
L1H6,0.19583250114179773,0.07380237857563722,0
L1H5,0.19583250114179773,0.07380237857563722,0
L13_MLP,0.18958354570899166,0.07310523783125043,0
L17H5,-0.16093892201411614,0.06969618529845417,0
L17H6,-0.16093892201411614,0.06969618529845417,0
L17H3,-0.16093892201411614,0.06969618529845417,0
L17H2,-0.16093892201411614,0.06969618529845417,0
L17H1,-0.16093892201411614,0.06969618529845417,0
L17H7,-0.16093892201411614,0.06969618529845417,0
L17H4,-0.16093892201411614,0.06969618529845417,0
L17H0,-0.16093892201411614,0.06969618529845417,0
L14H1,-0.18437438679879617,0.06844875675771535,0
L14H2,-0.18437438679879617,0.06844875675771535,0
L14H0,-0.18437438679879617,0.06844875675771535,0
L14H7,-0.18437438679879617,0.06844875675771535,0
L14H6,-0.18437438679879617,0.06844875675771535,0
L14H5,-0.18437438679879617,0.06844875675771535,0
L14H4,-0.18437438679879617,0.06844875675771535,0
L14H3,-0.18437438679879617,0.06844875675771535,0
L8H0,-0.16406382344551637,0.06399899285849339,0
L8H1,-0.16406382344551637,0.06399899285849339,0
L8H2,-0.16406382344551637,0.06399899285849339,0
L8H3,-0.16406382344551637,0.06399899285849339,0
L8H4,-0.16406382344551637,0.06399899285849339,0
L8H6,-0.16406382344551637,0.06399899285849339,0
L8H7,-0.16406382344551637,0.06399899285849339,0
L8H5,-0.16406382344551637,0.06399899285849339,0
L23H0,-0.18437481791146826,0.05968742758686008,0
L23H1,-0.18437481791146826,0.05968742758686008,0
L23H2,-0.18437481791146826,0.05968742758686008,0
L23H3,-0.18437481791146826,0.05968742758686008,0
L23H4,-0.18437481791146826,0.05968742758686008,0
L23H5,-0.18437481791146826,0.05968742758686008,0
L23H6,-0.18437481791146826,0.05968742758686008,0
L23H7,-0.18437481791146826,0.05968742758686008,0
L20_MLP,-0.1562495021734401,0.05898768237200363,0
L21_MLP,-0.15312471853381499,0.05256097357944611,0
L5H1,0.1312497117269203,0.050344513249402804,0
L5H6,0.1312497117269203,0.050344513249402804,0
L5H5,0.1312497117269203,0.050344513249402804,0
L5H4,0.1312497117269203,0.050344513249402804,0
L5H3,0.1312497117269203,0.050344513249402804,0
L5H2,0.1312497117269203,0.050344513249402804,0
L5H7,0.1312497117269203,0.050344513249402804,0
L5H0,0.1312497117269203,0.050344513249402804,0
L21H4,-0.07500007627107855,0.049334662349807226,0
L21H5,-0.07500007627107855,0.049334662349807226,0
L21H6,-0.07500007627107855,0.049334662349807226,0
L21H7,-0.07500007627107855,0.049334662349807226,0
L21H3,-0.07500007627107855,0.049334662349807226,0
L21H2,-0.07500007627107855,0.049334662349807226,0
L21H1,-0.07500007627107855,0.049334662349807226,0
L21H0,-0.07500007627107855,0.049334662349807226,0
L10_MLP,0.05833541002742173,0.04867939680761612,0
L19H7,-0.05781316673726096,0.047701003295115854,0
L19H0,-0.05781316673726096,0.047701003295115854,0
L19H1,-0.05781316673726096,0.047701003295115854,0
L19H3,-0.05781316673726096,0.047701003295115854,0
L19H4,-0.05781316673726096,0.047701003295115854,0
L19H5,-0.05781316673726096,0.047701003295115854,0
L19H6,-0.05781316673726096,0.047701003295115854,0
L19H2,-0.05781316673726096,0.047701003295115854,0
L24H2,-0.1302084848216044,0.04739532280021023,0
L24H6,-0.1302084848216044,0.04739532280021023,0
L24H3,-0.1302084848216044,0.04739532280021023,0
L24H0,-0.1302084848216044,0.04739532280021023,0
L24H4,-0.1302084848216044,0.04739532280021023,0
L24H5,-0.1302084848216044,0.04739532280021023,0
L24H7,-0.1302084848216044,0.04739532280021023,0
L24H1,-0.1302084848216044,0.04739532280021023,0
L15H7,-0.08854126871777049,0.04413760476765273,0
L15H0,-0.08854126871777049,0.04413760476765273,0
L15H5,-0.08854126871777049,0.04413760476765273,0
L15H4,-0.08854126871777049,0.04413760476765273,0
L15H6,-0.08854126871777049,0.04413760476765273,0
L15H3,-0.08854126871777049,0.04413760476765273,0
L15H2,-0.08854126871777049,0.04413760476765273,0
L15H1,-0.08854126871777049,0.04413760476765273,0
L12_MLP,-0.10052231271210811,0.0429536245945381,0
L6H5,0.0999987893234187,0.03782928390930407,0
L6H2,0.0999987893234187,0.03782928390930407,0
L6H7,0.0999987893234187,0.03782928390930407,0
L6H6,0.0999987893234187,0.03782928390930407,0
L6H0,0.0999987893234187,0.03782928390930407,0
L6H3,0.0999987893234187,0.03782928390930407,0
L6H4,0.0999987893234187,0.03782928390930407,0
L6H1,0.0999987893234187,0.03782928390930407,0
L0_MLP,0.04791546201756377,0.03702604551997238,0
L0H0,-0.09322777556813036,0.03496733469543183,0
L0H1,-0.09322777556813036,0.03496733469543183,0
L0H7,-0.09322777556813036,0.03496733469543183,0
L0H2,-0.09322777556813036,0.03496733469543183,0
L0H3,-0.09322777556813036,0.03496733469543183,0
L0H4,-0.09322777556813036,0.03496733469543183,0
L0H5,-0.09322777556813036,0.03496733469543183,0
L0H6,-0.09322777556813036,0.03496733469543183,0
L16_MLP,0.023955632010712838,0.034719744236081304,0
L1_MLP,0.08854146459469202,0.03312510139528815,0
L11H6,-0.03697923136383071,0.02819589983469167,0
L11H5,-0.03697923136383071,0.02819589983469167,0
L11H4,-0.03697923136383071,0.02819589983469167,0
L11H3,-0.03697923136383071,0.02819589983469167,0
L11H2,-0.03697923136383071,0.02819589983469167,0
L11H1,-0.03697923136383071,0.02819589983469167,0
L11H0,-0.03697923136383071,0.02819589983469167,0
L11H7,-0.03697923136383071,0.02819589983469167,0
L2H0,-0.07291652538546407,0.027042398881692478,0
L2H6,-0.07291652538546407,0.027042398881692478,0
L2H1,-0.07291652538546407,0.027042398881692478,0
L2H7,-0.07291652538546407,0.027042398881692478,0
L2H5,-0.07291652538546407,0.027042398881692478,0
L2H2,-0.07291652538546407,0.027042398881692478,0
L2H3,-0.07291652538546407,0.027042398881692478,0
L2H4,-0.07291652538546407,0.027042398881692478,0
L13H0,-0.06562588007899418,0.025540675987478202,0
L13H7,-0.06562588007899418,0.025540675987478202,0
L13H5,-0.06562588007899418,0.025540675987478202,0
L13H4,-0.06562588007899418,0.025540675987478202,0
L13H6,-0.06562588007899418,0.025540675987478202,0
L13H2,-0.06562588007899418,0.025540675987478202,0
L13H1,-0.06562588007899418,0.025540675987478202,0
L13H3,-0.06562588007899418,0.025540675987478202,0
L5_MLP,0.061977692440624,0.025006620867748616,0
L4H0,0.03906456601470278,0.02449942248349677,0
L4H1,0.03906456601470278,0.02449942248349677,0
L4H2,0.03906456601470278,0.02449942248349677,0
L4H3,0.03906456601470278,0.02449942248349677,0
L4H4,0.03906456601470278,0.02449942248349677,0
L4H5,0.03906456601470278,0.02449942248349677,0
L4H6,0.03906456601470278,0.02449942248349677,0
L4H7,0.03906456601470278,0.02449942248349677,0
L7_MLP,-0.03385367655040194,0.022817979856655138,0
L2_MLP,0.06041705008241275,0.021276487096209176,0
L9_MLP,-0.03489617661624786,0.020850985606618504,0
L7H5,0.04739509559515286,0.01979686627265515,0
L7H1,0.04739509559515286,0.01979686627265515,0
L7H2,0.04739509559515286,0.01979686627265515,0
L7H3,0.04739509559515286,0.01979686627265515,0
L7H4,0.04739509559515286,0.01979686627265515,0
L7H6,0.04739509559515286,0.01979686627265515,0
L7H7,0.04739509559515286,0.01979686627265515,0
L7H0,0.04739509559515286,0.01979686627265515,0
L8_MLP,-0.041666412911847556,0.01680035992604607,0
L4_MLP,-0.02083287161161058,0.016160713334815693,0
L6_MLP,-0.018229467816517384,0.015582998310363754,0
L3_MLP,-0.027082065591711578,0.014482443333289389,0
L12H3,0.001042326412485739,0.01428369912846769,0
L12H4,0.001042326412485739,0.01428369912846769,0
L12H5,0.001042326412485739,0.01428369912846769,0
L12H6,0.001042326412485739,0.01428369912846769,0
L12H7,0.001042326412485739,0.01428369912846769,0
L12H2,0.001042326412485739,0.01428369912846769,0
L12H0,0.001042326412485739,0.01428369912846769,0
L12H1,0.001042326412485739,0.01428369912846769,0
L10H7,-0.019270107262554306,0.014087286386580956,0
L10H3,-0.019270107262554306,0.014087286386580956,0
L10H0,-0.019270107262554306,0.014087286386580956,0
L10H1,-0.019270107262554306,0.014087286386580956,0
L10H2,-0.019270107262554306,0.014087286386580956,0
L10H5,-0.019270107262554306,0.014087286386580956,0
L10H4,-0.019270107262554306,0.014087286386580956,0
L10H6,-0.019270107262554306,0.014087286386580956,0
L9H2,-0.03541651037966312,0.012447278642634453,0
L9H7,-0.03541651037966312,0.012447278642634453,0
L9H6,-0.03541651037966312,0.012447278642634453,0
L9H5,-0.03541651037966312,0.012447278642634453,0
L9H4,-0.03541651037966312,0.012447278642634453,0
L9H3,-0.03541651037966312,0.012447278642634453,0
L9H0,-0.03541651037966312,0.012447278642634453,0
L9H1,-0.03541651037966312,0.012447278642634453,0
L3H0,-0.003645439278148525,0.007159954239935318,0
L3H7,-0.003645439278148525,0.007159954239935318,0
L3H6,-0.003645439278148525,0.007159954239935318,0
L3H5,-0.003645439278148525,0.007159954239935318,0
L3H3,-0.003645439278148525,0.007159954239935318,0
L3H2,-0.003645439278148525,0.007159954239935318,0
L3H1,-0.003645439278148525,0.007159954239935318,0
L3H4,-0.003645439278148525,0.007159954239935318,0
